longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,income_cat,rooms_per_household,population_per_household,bedrooms_per_room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
-118.07,33.91,29.0,2387.0,570.0,1978.0,548.0,3.1957,3,4.355839416058394,3.6094890510948905,0.2387934645999162,0,0,0,0,159200.0
-117.7,33.6,25.0,1321.0,295.0,396.0,278.0,3.1131,3,4.751798561151079,1.4244604316546763,0.22331566994700985,0,0,0,0,77100.0
-118.14,34.17,52.0,2667.0,486.0,1681.0,504.0,4.0524,3,5.291666666666667,3.3353174603174605,0.18222722159730034,0,0,0,0,173100.0
-118.26,34.07,46.0,2341.0,703.0,2371.0,648.0,2.4038,2,3.6126543209876543,3.6589506172839505,0.30029901751388294,0,0,0,0,181700.0
-122.07,37.94,43.0,1454.0,234.0,683.0,258.0,4.475,3,5.635658914728682,2.647286821705426,0.1609353507565337,0,0,1,0,265700.0
-121.65,39.76,31.0,1599.0,318.0,794.0,303.0,3.0,2,5.2772277227722775,2.6204620462046204,0.19887429643527205,1,0,0,0,96700.0
-117.01,32.77,34.0,3330.0,723.0,1592.0,656.0,2.6678,2,5.076219512195122,2.426829268292683,0.21711711711711712,0,0,0,0,164200.0
-118.35,34.06,52.0,2837.0,602.0,1164.0,551.0,3.2411,3,5.1488203266787655,2.1125226860254083,0.212195981670779,0,0,0,0,250000.0
-117.7,33.5,4.0,7474.0,1037.0,2969.0,1007.0,8.7591,5,7.422045680238332,2.9483614697120157,0.13874765854963875,0,0,0,0,434700.0
-122.08,37.82,4.0,2045.0,237.0,830.0,252.0,11.3421,5,8.115079365079366,3.2936507936507935,0.1158924205378973,0,0,1,0,500001.0
-118.24,33.9,39.0,642.0,129.0,475.0,123.0,1.2083,1,5.219512195121951,3.861788617886179,0.20093457943925233,0,0,0,0,92600.0
-118.36,34.04,49.0,995.0,184.0,462.0,194.0,2.7917,2,5.128865979381444,2.381443298969072,0.1849246231155779,0,0,0,0,242000.0
-117.24,32.8,26.0,3433.0,873.0,1492.0,798.0,2.9258,2,4.302005012531328,1.8696741854636592,0.2542965336440431,0,0,0,1,234800.0
-117.14,32.72,43.0,1073.0,344.0,660.0,279.0,2.0529,2,3.845878136200717,2.3655913978494625,0.320596458527493,0,0,0,1,168800.0
-118.14,34.18,50.0,1493.0,326.0,1000.0,323.0,3.3068,3,4.622291021671827,3.0959752321981426,0.21835231078365708,0,0,0,0,154400.0
-122.63,38.96,17.0,1708.0,459.0,633.0,312.0,1.75,2,5.4743589743589745,2.0288461538461537,0.2687353629976581,1,0,0,0,64000.0
-118.96,36.66,18.0,1302.0,424.0,320.0,133.0,3.1964,3,9.789473684210526,2.406015037593985,0.32565284178187404,1,0,0,0,80000.0
-122.27,37.56,5.0,4921.0,1179.0,1810.0,1073.0,5.6936,4,4.586206896551724,1.6868592730661696,0.2395854501117659,0,0,1,0,322200.0
-118.23,34.15,40.0,2124.0,370.0,998.0,372.0,5.3369,4,5.709677419354839,2.682795698924731,0.17419962335216574,0,0,0,0,370400.0
-117.89,33.68,8.0,5278.0,1575.0,2389.0,1371.0,3.3409,3,3.849744711889132,1.7425237053245806,0.2984084880636605,0,0,0,0,181300.0
-118.32,33.99,49.0,1407.0,269.0,889.0,283.0,1.9779,2,4.971731448763251,3.1413427561837457,0.1911869225302061,0,0,0,0,114200.0
-118.18,33.77,36.0,1833.0,688.0,1128.0,620.0,1.1483,1,2.956451612903226,1.8193548387096774,0.37534097108565195,0,0,0,1,112500.0
-117.47,33.98,8.0,12106.0,1913.0,5810.0,1717.0,4.9886,4,7.050669772859639,3.3838089691322075,0.1580208161242359,1,0,0,0,158100.0
-122.27,37.32,37.0,2607.0,534.0,1346.0,507.0,5.3951,4,5.1420118343195265,2.6548323471400392,0.2048331415420023,0,0,0,1,277700.0
-118.18,33.81,27.0,471.0,132.0,315.0,96.0,1.75,2,4.90625,3.28125,0.2802547770700637,0,0,0,1,154200.0
-117.09,32.75,28.0,1220.0,391.0,1286.0,396.0,1.2286,1,3.080808080808081,3.2474747474747474,0.32049180327868854,0,0,0,1,105000.0
-121.85,37.38,12.0,12980.0,2568.0,8190.0,2515.0,5.2415,4,5.1610337972166995,3.256461232604374,0.19784283513097073,0,0,0,0,286500.0
-121.32,38.61,22.0,3902.0,845.0,1870.0,763.0,2.774,2,5.114023591087811,2.450851900393185,0.21655561250640698,1,0,0,0,190200.0
-121.25,37.97,34.0,1288.0,344.0,846.0,293.0,1.7895,2,4.395904436860068,2.887372013651877,0.2670807453416149,1,0,0,0,63100.0
-117.93,33.84,23.0,2870.0,653.0,1680.0,598.0,3.2301,3,4.79933110367893,2.809364548494983,0.22752613240418118,0,0,0,0,189900.0
-117.13,34.88,21.0,3254.0,669.0,1548.0,545.0,2.3373,2,5.970642201834862,2.840366972477064,0.20559311616472034,1,0,0,0,57100.0
-118.14,33.95,36.0,1942.0,355.0,891.0,348.0,3.6635,3,5.580459770114943,2.560344827586207,0.18280123583934088,0,0,0,0,282100.0
-122.13,36.97,27.0,991.0,194.0,543.0,155.0,4.7188,4,6.393548387096774,3.503225806451613,0.19576185671039353,0,0,0,1,350000.0
-118.06,34.06,28.0,2127.0,625.0,3160.0,620.0,2.5763,2,3.4306451612903226,5.096774193548387,0.2938410907381288,0,0,0,0,173900.0
-122.27,37.86,52.0,1769.0,372.0,849.0,365.0,2.6914,2,4.846575342465753,2.326027397260274,0.21028829847371397,0,0,1,0,218800.0
-118.47,34.19,41.0,1104.0,196.0,495.0,196.0,5.0929,4,5.63265306122449,2.5255102040816326,0.17753623188405798,0,0,0,0,225000.0
-121.44,38.71,25.0,2336.0,406.0,1172.0,408.0,3.5129,3,5.7254901960784315,2.872549019607843,0.1738013698630137,1,0,0,0,101200.0
-121.79,37.99,18.0,3646.0,534.0,1651.0,535.0,5.7321,4,6.814953271028037,3.085981308411215,0.14646187602852442,1,0,0,0,164700.0
-118.17,34.02,42.0,946.0,272.0,1191.0,261.0,2.45,2,3.624521072796935,4.563218390804598,0.28752642706131076,0,0,0,0,132000.0
-117.16,32.75,23.0,2474.0,594.0,1107.0,536.0,2.9705,2,4.615671641791045,2.0652985074626864,0.2400970088924818,0,0,0,1,245500.0
-118.29,34.1,39.0,2196.0,582.0,1165.0,538.0,2.9417,2,4.0817843866171,2.1654275092936803,0.2650273224043716,0,0,0,0,254200.0
-122.6,38.11,23.0,8642.0,1294.0,3594.0,1253.0,5.3962,4,6.897047086991221,2.868316041500399,0.14973385790326313,0,0,0,0,301500.0
-121.99,37.81,17.0,465.0,83.0,146.0,75.0,4.9018,4,6.2,1.9466666666666668,0.17849462365591398,0,0,0,0,188500.0
-117.91,33.78,26.0,4297.0,1037.0,3596.0,967.0,3.045,3,4.44364012409514,3.718717683557394,0.24133116127530835,0,0,0,0,184000.0
-121.21,37.8,45.0,370.0,84.0,167.0,70.0,1.4853,1,5.285714285714286,2.3857142857142857,0.22702702702702704,1,0,0,0,101800.0
-121.25,38.03,29.0,2465.0,327.0,859.0,315.0,6.6605,5,7.825396825396825,2.726984126984127,0.13265720081135904,1,0,0,0,220700.0
-118.49,34.05,45.0,1346.0,214.0,415.0,209.0,7.0285,5,6.440191387559809,1.985645933014354,0.1589895988112927,0,0,0,0,500001.0
-117.67,33.63,9.0,5774.0,1320.0,3086.0,1265.0,4.4063,3,4.564426877470356,2.439525691699605,0.228611014894354,0,0,0,0,202200.0
-118.0,33.67,34.0,3712.0,667.0,1521.0,632.0,4.8125,4,5.8734177215189876,2.4066455696202533,0.1796875,0,0,0,0,387800.0
-117.37,33.99,44.0,917.0,224.0,666.0,220.0,1.685,2,4.168181818181818,3.0272727272727273,0.24427480916030533,1,0,0,0,114200.0
-119.79,36.73,52.0,112.0,28.0,193.0,40.0,1.975,2,2.8,4.825,0.25,1,0,0,0,47500.0
-121.29,38.13,20.0,3168.0,514.0,1390.0,490.0,5.0,4,6.46530612244898,2.836734693877551,0.16224747474747475,1,0,0,0,154800.0
-118.19,33.83,43.0,2641.0,411.0,1011.0,444.0,6.4468,5,5.948198198198198,2.277027027027027,0.15562287012495266,0,0,0,1,444200.0
-120.16,34.61,17.0,921.0,189.0,434.0,219.0,3.0185,3,4.205479452054795,1.9817351598173516,0.20521172638436483,0,0,0,1,500001.0
-120.84,37.4,7.0,2773.0,530.0,1374.0,505.0,2.6214,2,5.4910891089108915,2.720792079207921,0.19112874143526867,1,0,0,0,103800.0
-117.18,32.76,17.0,711.0,254.0,327.0,227.0,2.6493,2,3.13215859030837,1.4405286343612336,0.35724331926863573,0,0,0,1,67500.0
-117.08,33.14,19.0,2629.0,494.0,1444.0,503.0,3.5462,3,5.226640159045726,2.8707753479125246,0.18790414606314187,0,0,0,0,156800.0
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,4,7.1063829787234045,2.0851063829787235,0.16167664670658682,0,0,1,0,335000.0
-124.01,40.89,28.0,1470.0,336.0,811.0,314.0,2.4559,2,4.681528662420382,2.582802547770701,0.22857142857142856,0,0,0,0,75600.0
-122.96,40.77,29.0,1637.0,297.0,753.0,270.0,3.2891,3,6.062962962962963,2.7888888888888888,0.18142944410507025,1,0,0,0,93100.0
-118.27,33.86,29.0,2587.0,489.0,2115.0,475.0,3.7466,3,5.446315789473684,4.4526315789473685,0.18902203324313877,0,0,0,0,168600.0
-121.91,36.55,39.0,5468.0,834.0,1782.0,712.0,5.7248,4,7.679775280898877,2.502808988764045,0.15252377468910022,0,0,0,1,398800.0
-121.96,37.71,6.0,8072.0,1050.0,3386.0,1062.0,7.2494,5,7.60075329566855,3.1883239171374766,0.1300792864222002,0,0,0,0,336500.0
-118.18,34.1,8.0,1116.0,267.0,435.0,235.0,4.9231,4,4.748936170212766,1.851063829787234,0.239247311827957,0,0,0,0,230900.0
-117.81,33.73,19.0,5471.0,1345.0,2828.0,1247.0,3.5719,3,4.387329591018444,2.267842822774659,0.2458417108389691,0,0,0,0,252800.0
-118.15,33.77,36.0,4366.0,1211.0,1912.0,1172.0,3.5292,3,3.7252559726962455,1.6313993174061434,0.27737059092991295,0,0,0,1,361800.0
-122.23,37.48,38.0,1578.0,399.0,879.0,388.0,2.7969,2,4.06701030927835,2.265463917525773,0.25285171102661597,0,0,0,1,298400.0
-121.98,38.37,21.0,3027.0,675.0,2018.0,642.0,2.8438,2,4.714953271028038,3.143302180685358,0.22299306243805747,1,0,0,0,111500.0
-121.7,37.96,33.0,2396.0,452.0,1391.0,465.0,3.2813,3,5.15268817204301,2.9913978494623654,0.18864774624373956,1,0,0,0,151400.0
-117.33,33.67,27.0,4376.0,1003.0,2667.0,870.0,1.9194,2,5.029885057471264,3.06551724137931,0.22920475319926875,0,0,0,0,100600.0
-122.24,38.01,16.0,2084.0,315.0,1154.0,307.0,6.0102,5,6.7882736156351795,3.758957654723127,0.15115163147792707,0,0,1,0,235600.0
-121.98,37.36,34.0,1735.0,318.0,1019.0,301.0,4.5625,4,5.764119601328904,3.3853820598006643,0.18328530259365994,0,0,0,0,242700.0
-121.47,38.52,26.0,2177.0,638.0,1971.0,560.0,1.2575,1,3.8875,3.5196428571428573,0.2930638493339458,1,0,0,0,66800.0
-117.89,33.61,42.0,1301.0,280.0,539.0,249.0,5.0,4,5.224899598393574,2.1646586345381524,0.21521906225980014,0,0,0,0,500001.0
-117.76,33.79,4.0,8974.0,1268.0,3754.0,1241.0,8.2653,5,7.231265108783239,3.024979854955681,0.14129708045464676,0,0,0,0,374000.0
-122.41,37.75,52.0,1892.0,415.0,1442.0,371.0,4.2891,3,5.099730458221024,3.8867924528301887,0.21934460887949261,0,0,1,0,230000.0
-118.17,34.04,46.0,705.0,167.0,655.0,149.0,3.5938,3,4.731543624161074,4.395973154362416,0.23687943262411348,0,0,0,0,141100.0
-119.1,35.33,4.0,6640.0,898.0,3121.0,902.0,6.759,5,7.361419068736142,3.4600886917960088,0.1352409638554217,1,0,0,0,170300.0
-121.6,36.88,21.0,3416.0,624.0,1862.0,595.0,4.7813,4,5.741176470588235,3.1294117647058823,0.18266978922716628,0,0,0,0,241500.0
-119.35,36.21,26.0,2481.0,586.0,1445.0,498.0,1.6378,2,4.981927710843373,2.9016064257028114,0.2361950826279726,1,0,0,0,60300.0
-118.33,34.04,52.0,2545.0,401.0,1004.0,372.0,3.6373,3,6.841397849462366,2.6989247311827955,0.1575638506876228,0,0,0,0,420000.0
-117.95,33.82,35.0,1117.0,181.0,496.0,168.0,4.3269,3,6.648809523809524,2.9523809523809526,0.162041181736795,0,0,0,0,224700.0
-122.15,37.47,38.0,1560.0,301.0,1331.0,316.0,3.0521,3,4.936708860759493,4.212025316455696,0.19294871794871796,0,0,1,0,151500.0
-121.79,39.48,39.0,1105.0,180.0,408.0,166.0,3.3929,3,6.656626506024097,2.4578313253012047,0.16289592760180996,1,0,0,0,82100.0
-120.44,34.96,34.0,1248.0,284.0,986.0,272.0,2.9167,2,4.588235294117647,3.625,0.22756410256410256,0,0,0,0,104200.0
-118.39,33.97,44.0,1097.0,186.0,513.0,185.0,6.235,5,5.92972972972973,2.772972972972973,0.16955332725615316,0,0,0,0,361400.0
-122.42,37.78,52.0,1254.0,469.0,895.0,456.0,2.1516,2,2.75,1.962719298245614,0.3740031897926635,0,0,1,0,187500.0
-117.2,32.85,22.0,3501.0,631.0,1297.0,581.0,4.7891,4,6.025817555938038,2.2323580034423407,0.1802342187946301,0,0,0,1,295300.0
-117.89,33.82,24.0,1268.0,210.0,700.0,224.0,5.0605,4,5.660714285714286,3.125,0.16561514195583596,0,0,0,0,216200.0
-121.82,39.72,42.0,2978.0,694.0,1879.0,679.0,1.5064,2,4.3858615611192935,2.767304860088365,0.23304231027535258,1,0,0,0,66300.0
-117.84,35.54,11.0,1751.0,316.0,765.0,296.0,5.0762,4,5.91554054054054,2.5844594594594597,0.18046830382638493,1,0,0,0,98000.0
-117.91,33.83,9.0,1160.0,368.0,735.0,325.0,1.119,1,3.5692307692307694,2.2615384615384615,0.31724137931034485,0,0,0,0,175000.0
-118.39,34.05,25.0,2814.0,701.0,1139.0,658.0,4.0153,3,4.276595744680851,1.7310030395136777,0.24911158493248045,0,0,0,0,460000.0
-117.08,32.68,19.0,3635.0,1078.0,3127.0,1098.0,1.324,1,3.3105646630236794,2.847905282331512,0.2965612104539202,0,0,0,1,122600.0
-122.05,37.9,32.0,2676.0,484.0,986.0,473.0,4.6528,4,5.657505285412262,2.0845665961945032,0.18086696562032886,0,0,1,0,335700.0
-117.2,34.15,18.0,1859.0,251.0,747.0,256.0,7.732,5,7.26171875,2.91796875,0.13501882732651962,1,0,0,0,173200.0
-122.08,37.93,35.0,4043.0,689.0,1832.0,662.0,5.0761,4,6.1072507552870094,2.7673716012084593,0.17041800643086816,0,0,1,0,233200.0
-121.38,38.68,35.0,1643.0,298.0,831.0,305.0,4.0673,3,5.386885245901639,2.724590163934426,0.18137553256238587,1,0,0,0,84200.0
-124.16,40.95,20.0,1075.0,214.0,529.0,196.0,3.1406,3,5.48469387755102,2.6989795918367347,0.19906976744186047,0,0,0,1,96000.0
-124.15,40.59,39.0,1186.0,238.0,539.0,212.0,2.0938,2,5.59433962264151,2.542452830188679,0.20067453625632378,0,0,0,1,79600.0
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,5,5.3578947368421055,2.617543859649123,0.18271119842829076,0,0,0,0,446600.0
-117.84,34.1,17.0,7836.0,1624.0,4419.0,1526.0,3.8465,3,5.134993446920053,2.895806028833552,0.20724859622256253,0,0,0,0,180700.0
-123.78,40.05,17.0,2019.0,496.0,899.0,347.0,2.1864,2,5.818443804034582,2.590778097982709,0.2456661713719663,0,0,0,0,101900.0
-121.0,37.26,45.0,1750.0,371.0,847.0,354.0,1.7062,2,4.943502824858757,2.3926553672316384,0.212,1,0,0,0,77400.0
-117.89,33.61,44.0,2126.0,423.0,745.0,332.0,5.1923,4,6.403614457831325,2.2439759036144578,0.19896519285042333,0,0,0,0,500001.0
-117.89,33.88,27.0,2091.0,336.0,1037.0,332.0,5.7519,4,6.298192771084337,3.1234939759036147,0.1606886657101865,0,0,0,0,243400.0
-117.02,32.73,22.0,5201.0,865.0,3280.0,817.0,4.7952,4,6.365973072215422,4.01468788249694,0.16631417035185542,0,0,0,1,141400.0
-117.99,33.69,17.0,3386.0,729.0,1715.0,666.0,3.7479,3,5.084084084084084,2.575075075075075,0.21529828706438275,0,0,0,0,213000.0
-117.26,32.95,15.0,1036.0,149.0,395.0,157.0,5.8343,4,6.598726114649682,2.515923566878981,0.1438223938223938,0,0,0,1,500001.0
-118.72,34.29,22.0,3266.0,529.0,1595.0,494.0,6.0368,5,6.611336032388664,3.2287449392712553,0.1619718309859155,0,0,0,0,248000.0
-122.14,37.47,36.0,2081.0,412.0,1931.0,373.0,3.7917,3,5.579088471849866,5.176943699731903,0.1979817395482941,0,0,1,0,160600.0
-121.37,38.39,15.0,1883.0,254.0,893.0,256.0,6.2575,5,7.35546875,3.48828125,0.13489113117365906,1,0,0,0,143500.0
-118.34,34.09,37.0,1442.0,501.0,998.0,503.0,2.4432,2,2.8667992047713717,1.9840954274353877,0.3474341192787795,0,0,0,0,200000.0
-118.28,33.99,52.0,1283.0,342.0,1363.0,329.0,2.5848,2,3.8996960486322187,4.142857142857143,0.2665627435697584,0,0,0,0,101900.0
-117.27,33.03,19.0,2899.0,499.0,1356.0,512.0,4.87,4,5.662109375,2.6484375,0.1721283201103829,0,0,0,1,220900.0
-117.17,34.28,13.0,4867.0,718.0,780.0,250.0,7.1997,5,19.468,3.12,0.14752414218204232,1,0,0,0,253800.0
-118.33,34.0,24.0,873.0,320.0,529.0,308.0,0.9304,1,2.8344155844155843,1.7175324675324675,0.3665521191294387,0,0,0,0,151600.0
-122.34,37.95,44.0,1788.0,368.0,933.0,329.0,2.875,2,5.434650455927052,2.835866261398176,0.2058165548098434,0,0,1,0,133400.0
-121.45,36.86,11.0,1613.0,335.0,1617.0,342.0,3.1375,3,4.716374269005848,4.728070175438597,0.20768753874767515,1,0,0,0,146200.0
-118.37,33.87,13.0,2907.0,726.0,1573.0,694.0,3.5048,3,4.188760806916426,2.26657060518732,0.24974200206398348,0,0,0,0,294000.0
-118.25,33.93,42.0,819.0,233.0,899.0,228.0,1.1346,1,3.5921052631578947,3.942982456140351,0.2844932844932845,0,0,0,0,85400.0
-117.14,33.39,17.0,2889.0,587.0,1931.0,510.0,3.8547,3,5.6647058823529415,3.7862745098039214,0.20318449290411908,0,0,0,0,208300.0
-122.31,37.56,45.0,1685.0,321.0,815.0,314.0,4.2955,3,5.36624203821656,2.5955414012738856,0.19050445103857566,0,0,0,1,309700.0
-118.22,33.92,23.0,926.0,409.0,1856.0,408.0,2.1366,2,2.269607843137255,4.549019607843137,0.44168466522678185,0,0,0,0,100000.0
-122.13,37.47,25.0,1630.0,353.0,1546.0,371.0,5.0893,4,4.393530997304582,4.16711590296496,0.2165644171779141,0,0,1,0,173400.0
-118.27,33.92,36.0,1465.0,346.0,1147.0,324.0,1.7262,2,4.521604938271605,3.5401234567901234,0.23617747440273038,0,0,0,0,88800.0
-122.68,38.43,29.0,488.0,63.0,161.0,62.0,6.0774,5,7.870967741935484,2.596774193548387,0.1290983606557377,0,0,0,0,334400.0
-118.26,33.94,41.0,1510.0,410.0,1408.0,389.0,1.65,2,3.8817480719794344,3.619537275064267,0.271523178807947,0,0,0,0,94200.0
-121.71,38.72,32.0,710.0,155.0,550.0,154.0,2.8882,2,4.6103896103896105,3.5714285714285716,0.21830985915492956,1,0,0,0,151400.0
-117.66,34.12,22.0,2272.0,278.0,933.0,305.0,8.8204,5,7.449180327868852,3.059016393442623,0.12235915492957747,1,0,0,0,390500.0
-122.04,37.0,52.0,3365.0,644.0,796.0,333.0,2.9712,2,10.105105105105105,2.3903903903903903,0.1913818722139673,0,0,0,1,116600.0
-118.21,34.07,31.0,1453.0,404.0,1486.0,389.0,2.3859,2,3.7352185089974292,3.8200514138817483,0.2780454232622161,0,0,0,0,153100.0
-121.78,37.69,34.0,2358.0,498.0,1157.0,461.0,3.3618,3,5.114967462039045,2.509761388286334,0.21119592875318066,1,0,0,0,174600.0
-120.06,37.02,13.0,6301.0,1080.0,3840.0,1033.0,3.5258,3,6.099709583736689,3.717328170377541,0.1714013648627202,1,0,0,0,84900.0
